year,region,mathAverageMark
2019,Івано-Франківська область,139.87195467422097
2019,Волинська область,141.38720634022079
2019,Вінницька область,135.44335414808208
2019,Дніпропетровська область,137.85132519983173
2019,Донецька область,137.54257362355955
2019,Житомирська область,136.12833845426613
2019,Закарпатська область,137.99186361875243
2019,Запорізька область,137.39580209895053
2019,Київська область,138.57565460723566
2019,Кіровоградська область,134.44638403990024
2019,Луганська область,134.98993595608417
2019,Львівська область,143.2424865729631
2019,Миколаївська область,135.21892613467813
2019,Одеська область,136.62746745065098
2019,Полтавська область,137.71153846153845
2019,Рівненська область,140.46378792019678
2019,Сумська область,139.98121798520205
2019,Тернопільська область,140.91506095163194
2019,Харківська область,140.89336993243242
2019,Херсонська область,136.28445078459345
2019,Хмельницька область,138.78449855983243
2019,Черкаська область,140.25398736081854
2019,Чернівецька область,136.431906614786
2019,Чернігівська область,139.13200379867047
2019,м.Київ,147.32657779147723
2020,Івано-Франківська область,138.7399730820996
2020,Волинська область,139.45594594594596
2020,Вінницька область,135.57070340826687
2020,Дніпропетровська область,137.7962635698056
2020,Донецька область,136.32007416146973
2020,Житомирська область,135.48845798707293
2020,Закарпатська область,135.77638572513288
2020,Запорізька область,136.07462141944902
2020,Київська область,137.53491249779034
2020,Кіровоградська область,134.82446615997105
2020,Луганська область,134.38359788359787
2020,Львівська область,142.5602997023504
2020,Миколаївська область,134.0622914349277
2020,Одеська область,135.617905510183
2020,Полтавська область,136.91701797204348
2020,Рівненська область,139.10444826738757
2020,Сумська область,138.11626666666666
2020,Тернопільська область,138.36275167785234
2020,Харківська область,139.62210589893294
2020,Херсонська область,135.2657018813314
2020,Хмельницька область,137.3098301595471
2020,Черкаська область,137.8766304347826
2020,Чернівецька область,136.81336053034167
2020,Чернігівська область,138.2036428784712
2020,м.Київ,145.94120120541032
